,Job Title,Company Name,Location,Salaries,Links
0,new.NET Developer,Edoorsinc Inc,"Hartford, CT","$70,282 - $140,000 a year",
1,newSoftware Engineer - JavaScript,"The Travelers Companies, Inc.","Hartford, CT+1 location",Full-time,
2,newPega Application Developer - Evernorth,Cigna,"Hartford, CT 06152 (Frog Hollow area)",8 hour shift,
3,newSoftware Engineering Senior Advisor - Express Scripts (Work...,Cigna,"Remote in Hartford, CT 06152","$104,400 - $172,300 a year",
4,newSoftware Engineer (Remote),SynergisticIT,"Remote in New Haven, CT 06501",Full-time,
5,newSr. Machine Learning Engineer,Disney Streaming,"Remote in Bristol, CT 06010","$88,100 - $146,800 a year",
6,newTechnical Support Engineer,"Flexera Software, Inc.","Cheshire, CT",Full-time,
7,newAutomation Engineer,Amphenol ICC,"Hamden, CT","$115,100 - $191,800 a year",
8,newSenior Cloud Engineer,Pitney Bowes,"Remote in Shelton, CT 06484",Full-time,
9,newSite Reliability Engineer (SRE),Recruiting From Scratch,"Remote in New Haven, CT 06520+1 location",Full-time +1,
10,newCloud Site Reliability Engineer (AWS),"The Travelers Companies, Inc.","Remote in Hartford, CT+1 location",Full-time,
11,newEmbedded Flight Controls Software Engineer,Sikorsky Aircraft Corporation,"Remote in Stratford, CT",Full-time,
12,newStaff Software Engineer - Service Mesh Team (Product Technol...,Indeed,Remote in Connecticut,"$160,000 - $200,000 a year",
13,newUS Tech Application Delivery Director,PRICE WATERHOUSE COOPERS,"Remote in Hartford, CT 06103","$88,300 - $145,700 a year",
14,newSr .Net Developer,Apolis,"Hartford, CT",Full-time,
15,newStaff Software Engineer - Service Mesh Team (Product Technol...,Indeed,Remote in Connecticut,Full-time +1,
16,newSr. Machine Learning Engineer,Disney Streaming,"Remote in Bristol, CT 06010","$143,000 - $207,000 a year",
17,newSenior Cloud Engineer,Pitney Bowes,"Remote in Shelton, CT 06484",Full-time,
18,newAndroid Developer (REMOTE from CT),CyberCoders,"Remote in Hartford, CT 06123",Contract,
19,newSoftware Engineer,TCA Consulting Group Inc.,"Hartford, CT","$143,000 - $207,000 a year",
20,new.NET Developer,Edoorsinc Inc,"Hartford, CT",Full-time,
21,newSr. Software Engineer - Fully Remote - Non-Profit Tech compa...,CyberCoders,"Remote in West Hartford, CT 06107",Full-time,
22,"newSoftware Developer - SQL Server, .Net - Hybrid",CyberCoders,"Danbury, CT 06811","$110,000 - $140,000 a year",
23,newSoftware Engineer - JavaScript,"The Travelers Companies, Inc.","Hartford, CT+1 location",Full-time,
24,newREMOTE Senior Backend Engineer,CyberCoders,"Remote in Hartford, CT 06106",$75 - $78 an hour,
25,newTechnical Support Engineer,"Flexera Software, Inc.","Cheshire, CT",Full-time +1,
26,newAutomation Engineer,Amphenol ICC,"Hamden, CT",8 hour shift,
27,newPega Application Developer - Evernorth,Cigna,"Hartford, CT 06152 (Frog Hollow area)","$70,282 - $140,000 a year",
28,newEmbedded Flight Controls Software Engineer,Sikorsky Aircraft Corporation,"Remote in Stratford, CT",Full-time,
29,newSoftware Engineering Senior Advisor - Express Scripts (Work...,Cigna,"Remote in Hartford, CT 06152",8 hour shift,
30,,,,"$120,000 - $180,000 a year",
31,,,,Full-time,
32,,,,"$90,000 - $120,000 a year",
33,,,,Full-time,
34,,,,"$104,400 - $172,300 a year",
35,,,,Full-time,
36,,,,"$100,000 - $120,000 a year",
37,,,,Full-time,
38,,,,Full-time,
39,,,,"$88,100 - $146,800 a year",
40,,,,Full-time,
41,,,,Full-time +1,
42,,,,"$115,100 - $191,800 a year",
43,,,,Full-time,
